text,categories,expected_category
"Restorative Justice Service- West Yorkshire Restorative Justice is defined as the process that brings those harmed by crime, and those responsible for the harm, into communication, enabling everyone affected by a particular incident to play a part in repairing the harm and finding a positive way forward.  The Mayor of West Yorkshire is committed to providing Restorative Justice to victims of crime and has approved the re-commission a West Yorkshire wide Restorative Justice service with a budget of £280,000 to £300,000 per annum for an initial 3-year contract, with two optional 2-year extensions, to a maximum of 7 years in total.  The requirements are for a West Yorkshire wide Restorative Justice service that will be available for all crime types as no victim should be denied restorative justice on the basis of the type of crime they have experienced.",justice_services,justice_services
"23NW SGL 336 Straightwall Herbicide The Pennsylvania Game Commission (PGC), Northwest Region, requires the combination of foliar spray AND cut stump treatments on all multiflora rose, autumn olive, Asiatic honeysuckle, Oriental bittersweet, Privet, Burning Bush, and Japanese barberry on 27 acres of State Game Lands 336 located in Lawrence County.",planting_and_maintenance_services_of_green_ar,planting_and_maintenance_services_of_green_ar
"Lean Six Sigma Training and Quality Improvement The State, as represented by the Wisconsin Department of Justice, is soliciting bids from qualified bidders to provide Lean Six Sigma Green Belt Training and Certification and Quality Improvement Project to the Wisconsin Department of Justice Division of Forensic Sciences Laboratory.",specialist_training_services,specialist_training_services
"IFB 2024-B06 Sentinel Peak - Asbestos Abatement & Building Demolition ﻿Hays County (County) is seeking bids from qualified, licensed, and experienced General Abatement Contractors to provide all labor, materials, and equipment necessary for the permitting, abatement, demolition, removal and environmentally appropriate disposal of all structures and debris located at Sentinel Peak.",,building_demolition_and_wrecking_work_and_ear
The purchase of a generator and automatic transfer switch THE TEXAS DEPARTMENT OF CRIMINAL JUSTICE (TDCJ) IS CURRENTLY        REQUESTING BIDS TO ESTABLISH A PURCHASE ORDER FOR THE PROCUREMENT OFA GENERATOR AND AUTOMATIC TRANSFER SWITCH.,generators,generators
"Community Audiology – Support Services The following line should be included: ‘This is a Provider Selection Regime (PSR) intention to award notice. The awarding of this contract is subject to the Health Care Services (Provider Selection Regime) Regulations 2023. For the avoidance of doubt, the provisions of the Public Contracts Regulations 2015 do not apply to this award. The publication of this notice marks the start of the standstill period. Representations by providers must be made to decision makers by 16 February 2024. This contract has not yet formally been awarded; this notice serves as an intention to award under the PSR.’<br/><br/>You should provide an address (which could be an email address) where written representations should be sent.<br/><br/>You must:<br/>- include details of the award decision-makers;<br/>- note any declared conflicts or potential conflicts of interest of individuals making the decision and how these were managed; and<br/>- include a statement explaining the relative importance of the key criteria that the relevant authority used to make a decision, the rationale for the relative importance of the key criteria, and the rationale for choosing the provider with reference to the key criteria.<br/><br/>Sample wording: 'Conflicts of interest identified among [group/committee/officer]: [number]. The non-conflicted members have assessed the nature and risk of this conflict, and have decided which steps to take to avoid or manage it. [Potential steps may include: excluding the conflicted member from related discussions, excluding the conflicted member from decision-making, delegating the matter to a sub-committee of non-conflicted decision-makers, or seeking independent advice to help make the decision. This list is illustrative rather than exhaustive.]'<br/><br/><br/>SCHEDULE 3<br/><br/>Regulation 9(4)<br/><br/>Content of notice of intention to award to the existing provider under Direct Award Process C<br/><br/>1.A statement that the relevant authority is intending to award a contract to an existing provider following Direct Award Process C.<br/>An award has been made following Direct Award Process C<br/><br/>2.The contract title and reference.<br/>Title - Community Audiology – Support Services<br/>Reference - Community Audiology Service 2024-25<br/><br/>3.The name and address of the registered office or principal place of business of the provider to whom an award is to be made.<br/><br/>RNID<br/>Brightfield Business Hub<br/>Orton Southgate<br/>Peterborough<br/>PE2 6XU            <br/><br/>4.A description of the relevant health care services to which the contract relates, including the most relevant CPV code<br/>Description - Voluntary Sector Support to Community Audiology Patients within North East Essex<br/>CPV Code – 85323000-9 Community health services, but only in respect of community health services which are delivered to individuals<br/><br/>5.The approximate lifetime value of the contract.<br/>£40,000<br/><br/>6.Details of the award decision-makers.<br/>Governance – NICS Collaborative and NEE Community Services (NEECS) DMT <br/><br/>Key Individuals - East Suffolk and North Essex NHS Foundation Trust (ESNEFT)::<br/><br/>Associate Director of Operations- NEECS<br/>General Manager Unplanned & Urgent Care – NEECS<br/>Clinical Lead for Community Audiology - Acute<br/><br/>7.A statement explaining the award decision-makers’ reasons for selecting the chosen provider, with reference to the key criteria.<br/>Key Criteria:<br/><br/>A.	Quality and Innovation – The provider brings quality, learning and innovations from the services they deliver nationally and, where suitable, incorporate them in the service they deliver in North",medical_practice_and_related_services,medical_practice_and_related_services
"University of St Andrews: Design & Manufacture of Safepoint Desks Design and Manufacture of Safepoint Desks including delivery and installation. It is anticipated that the requirement will be for c.40 no. desks. A SafePoint is an approved room containing a SafePoint Desk which allows a researcher to access and analyse data. It is a low cost and scalable solution for data access and will become a new service offered by the SafePod Network.  For more information about the SafePod Network visit www.safepodnetwork.ac.uk. A SafePoint Desk houses the SafePod Network IT system securely and includes a CCTV camera, EyeCube (switches off the monitor when no motion is detected at the desk) and dual monitors. It includes a screen barrier to prevent oversight risk of the desk and provides adjustments for researcher comfort and accessibility. A SafePoint Desk would typically be placed in the corner of a room.  The walls in the corner of the room will form a natural barrier on two sides to create a four-wall enclosure with an entrance and exit point on the opposite side to the room walls. Security policies will govern the SafePoint Desk and the room that it is located. Please see ITT (Invitation to Tender) for full details and specification.",,tables_cupboards_desk_and_bookcases
"Provision of Cleaning Services for Brodick Terminal CalMac Ferries Ltd are looking to award a single supplier the Contract for cleaning at our Brodick site. This service will ensure cleanliness is upheld on-site at Brodick to ensure a satisfactory service is provided to our customers with health and safety at forefront of CalMac’s priorities. Whilst cleaning services are paramount for customer satisfaction, it is also important to ensure that the facilities are upkept so that CalMac employees have clean working facilities.",cleaning_services,cleaning_services
"HCC - 02/24 - Pre-Procurement Market Engagement (PPME) for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hertfordshire County Council (the ""Council"") is carrying out Pre-Procurement Market Engagement (""PPME"") for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hills TunnelThe Council is seeking input from the market as to what might be the most attractive way of packaging and scoping any future opportunity for contracts.  This input will help inform any resultant procurement process. Please refer to the PPME document for more detailed information.The Council will consider the feedback received to help inform the Council’s options and further decision making. For the avoidance of doubt, this stage of the project is not part of a formal procurement process, and the Council is not committing, at this stage, to carrying out such a process. Participation or non-participation in the PPME shall not prevent any supplier participating in a potential future procurement, nor is it intended that any information supplied as part of the PPME shall place any supplier at an advantage in a potential procurement process. Participation in the PPME will be at each organisation’s own cost. No expense in responding to this PPME will be reimbursed by the Council.Further information can be found within the attached documentation. You are invited to submit a completed questionnaire by 12 noon on 11th March 2024. Please log in or register at https://in-tendhost.co.uk/supplyhertfordshire/aspx/Home",repair_and_maintenance_services_of_electrical,repair_and_maintenance_services_of_machinery
"Digital and Data Capabilities Framework Our current thinking is that this lot encompasses all competences and skills required to achieve NESO's objectives under its business plan, digitalisation strategy, and digital first ambitions, including without limitation the provision of all current services fulfilled by the National Grid Group, as well as supporting NESO as a full end to end business, and expanding these same services to cover the new roles within, and ambitions of, NESO.  The supplier for this lot will be responsible for providing end to end capabilities to enable partnership delivery of large or more specific projects.  Indicative examples of required capabilities are as follows:  Project Management Office  Business Analysis  Product Design and Management  Infrastructure Management and Support  Solution Delivery Management  Release Management  End-to-end user experience (UX) management  UVDB Codes to be registered on Achilles:  2.1.2.0	Software Development Services  2.1.3.0	Software Support Services  2.1.10.0	Data Collection & Handling Services  2.2.0		Business Consultancy  2.2.3.0	IT Consultancy  2.2.10.0	Security Consultancy  2.2.22.0	Risk Management Consultancy  2.6.41.0	Business Project Management","systems_and_technical_consultancy_services, business_and_management_consultancy_services",systems_and_technical_consultancy_services
"Student Dashboard System Texas A&M University, subsequently referred to as TAMU, School of Medicine is seeking proposals and intends to enter into an agreement with a qualified vendor to provide a Student Dashboard System.",,educational_software_package
