text;Ground truth category;LLM ChatGPT Categorization;LLM ChatGPT Explanation;LLM ChatGPT shortlisted categories;LLM ELMI Categorization;LLM ELMI Explanation;Pure ML categories;Rules Cateogies
"### TITLE:
 Restorative Justice Service- West Yorkshire

 ### DESCRIPTION:
 Restorative Justice is defined as the process that brings those harmed by crime, and those responsible for the harm, into communication, enabling everyone affected by a particular incident to play a part in repairing the harm and finding a positive way forward.  The Mayor of West Yorkshire is committed to providing Restorative Justice to victims of crime and has approved the re-commission a West Yorkshire wide Restorative Justice service with a budget of £280,000 to £300,000 per annum for an initial 3-year contract, with two optional 2-year extensions, to a maximum of 7 years in total.  The requirements are for a West Yorkshire wide Restorative Justice service that will be available for all crime types as no victim should be denied restorative justice on the basis of the type of crime they have experienced.";Justice services;['Justice services'];The offer is related to providing Restorative Justice services in West Yorkshire, which falls under the category of Justice services.;['Social work services', 'Consultative engineering and construction services', 'Social services', 'Legal advisory and representation services', 'Justice services', 'General public services', 'Civil engineering machinery', 'Consulting services', 'Public security, law and order services', 'Supporting services for the government', 'Miscellaneous fire-protection equipment', 'Development services of real estate', 'Advisory architectural services'];['Justice services'];The offer is about providing Restorative Justice to victims of crime. Restorative Justice is a process that brings those harmed by crime, and those responsible for the harm, into communication, enabling everyone affected by a particular incident to play a part in repairing the harm and finding a positive way forward. Therefore, it is a Justice service.' };justice_services;
"### TITLE:
 23NW SGL 336 Straightwall Herbicide

 ### DESCRIPTION:
 The Pennsylvania Game Commission (PGC), Northwest Region, requires the combination of foliar spray AND cut stump treatments on all multiflora rose, autumn olive, Asiatic honeysuckle, Oriental bittersweet, Privet, Burning Bush, and Japanese barberry on 27 acres of State Game Lands 336 located in Lawrence County.";Planting and maintenance services of green areas;['Herbicide'];The offer is for a straightwall herbicide being used for foliar spray and cut stump treatments on specific plants in a State Game Lands area. This falls under the category of herbicide, as it is a specialized chemical product designed for vegetation management.;['Cleaning services', 'Construction work for water projects', 'Miscellaneous engineering services', 'Environmental Services', 'Herbicide', 'Wildlife Management', 'Vegetables, fruits and nuts', 'Specialised chemical products', 'Maintenance services of telecommunications equipment', 'Facilities management software package and software package suite', 'Services incidental to forestry', 'Agro-chemical products', 'Miscellaneous fertilisers', 'Tree pruning and hedge trimming', 'Development services of real estate', 'Installation services of laboratory equipment', 'Repair and maintenance services of military aircrafts, missiles and spacecrafts'];['Specialised chemical products'];The product is a herbicide, which is a type of chemical product used to kill unwanted plants. Therefore, it falls under the category of Specialised chemical products.' };planting_and_maintenance_services_of_green_ar;
"### TITLE:
 Lean Six Sigma Training and Quality Improvement

 ### DESCRIPTION:
 The State, as represented by the Wisconsin Department of Justice, is soliciting bids from qualified bidders to provide Lean Six Sigma Green Belt Training and Certification and Quality Improvement Project to the Wisconsin Department of Justice Division of Forensic Sciences Laboratory.";Specialist training services;['Training services'];The offer involves providing Lean Six Sigma Green Belt Training and Certification, which falls under the category of training services.;['Business and management consultancy services', 'Training services', 'Vocational training services', 'Administrative services of agencies', 'Training facilities', 'Justice services', 'Research, testing and scientific technical simulator', 'Training and entertainment software package', 'Training and simulation in aircrafts, missiles and spacecrafts', 'Geological prospecting apparatus', 'Miscellaneous fertilisers', 'Development services of real estate', 'Statistical services'];['Business and management consultancy services'];The offer is for Lean Six Sigma Training and Quality Improvement. Lean Six Sigma is a methodology that combines two powerful improvement methods: Lean and Six Sigma. Lean focuses on improving process flow and eliminating waste, while Six Sigma focuses on eliminating defects and reducing variability. The offer is for the Wisconsin Department of Justice, Division of Forensic Sciences Laboratory, which is a government agency. Therefore, the offer is for Business and management consultancy services.' };specialist_training_services;
"### TITLE:
 IFB 2024-B06 Sentinel Peak - Asbestos Abatement & Building Demolition

 ### DESCRIPTION:
 ﻿Hays County (County) is seeking bids from qualified, licensed, and experienced General Abatement Contractors to provide all labor, materials, and equipment necessary for the permitting, abatement, demolition, removal and environmentally appropriate disposal of all structures and debris located at Sentinel Peak.";Building demolition and wrecking work and earthmoving work;['Asbestos Abatement Services'];The offer is focused on providing asbestos abatement services for the demolition of structures at Sentinel Peak.;['Building construction work', 'Building demolition and wrecking work and earthmoving work', 'Cleaning services', 'Asbestos removal services', 'Other building completion work', 'Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry', 'Waste incinerators', 'Civil engineering machinery', 'Insulation work', 'Asbestos Abatement Services', 'Building Demolition Services', 'Development services of real estate', 'Repair and maintenance services of military aircrafts, missiles and spacecrafts'];['Building demolition and wrecking work and earthmoving work', 'Environmental protection', 'Asbestos removal services'];The product/service offer is for the permitting, abatement, demolition, removal and environmentally appropriate disposal of all structures and debris located at Sentinel Peak. This falls under the category of Building demolition and wrecking work and earthmoving work as it involves the demolition and removal of structures and debris. It also falls under Environmental protection as the disposal of the debris needs to be environmentally appropriate. Lastly, it falls under Asbestos removal services as the abatement of asbestos is mentioned in the offer.' };;
"### TITLE:
 The purchase of a generator and automatic transfer switch

 ### DESCRIPTION:
 THE TEXAS DEPARTMENT OF CRIMINAL JUSTICE (TDCJ) IS CURRENTLY        REQUESTING BIDS TO ESTABLISH A PURCHASE ORDER FOR THE PROCUREMENT OFA GENERATOR AND AUTOMATIC TRANSFER SWITCH.";Generators;['Electrical supplies and accessories'];The offer involves the procurement of a generator and automatic transfer switch, which falls under the category of Electrical supplies and accessories.;['Various office equipment and supplies', 'Electrical installation work', 'Electrical supplies and accessories', 'Construction equipment', 'Specialised chemical products', 'Industrial control software package', 'Maintenance services of telecommunications equipment', 'Machines and apparatus with individual functions', 'Installation services of special-purpose machinery and equipment', 'System, storage and content management software package', 'Repair and maintenance services of weapons and weapon systems', 'Development services of real estate', 'Installation services of laboratory equipment'];['Generators'];The product offer is for the purchase of a generator and automatic transfer switch. This falls under the category of 'Generators' as it is a special-purpose machinery that converts mechanical energy to electrical energy.' };generators;
"### TITLE:
 Community Audiology – Support Services

 ### DESCRIPTION:
 The following line should be included: ‘This is a Provider Selection Regime (PSR) intention to award notice. The awarding of this contract is subject to the Health Care Services (Provider Selection Regime) Regulations 2023. For the avoidance of doubt, the provisions of the Public Contracts Regulations 2015 do not apply to this award. The publication of this notice marks the start of the standstill period. Representations by providers must be made to decision makers by 16 February 2024. This contract has not yet formally been awarded; this notice serves as an intention to award under the PSR.’<br/><br/>You should provide an address (which could be an email address) where written representations should be sent.<br/><br/>You must:<br/>- include details of the award decision-makers;<br/>- note any declared conflicts or potential conflicts of interest of individuals making the decision and how these were managed; and<br/>- include a statement explaining the relative importance of the key criteria that the relevant authority used to make a decision, the rationale for the relative importance of the key criteria, and the rationale for choosing the provider with reference to the key criteria.<br/><br/>Sample wording: 'Conflicts of interest identified among [group/committee/officer]: [number]. The non-conflicted members have assessed the nature and risk of this conflict, and have decided which steps to take to avoid or manage it. [Potential steps may include: excluding the conflicted member from related discussions, excluding the conflicted member from decision-making, delegating the matter to a sub-committee of non-conflicted decision-makers, or seeking independent advice to help make the decision. This list is illustrative rather than exhaustive.]'<br/><br/><br/>SCHEDULE 3<br/><br/>Regulation 9(4)<br/><br/>Content of notice of intention to award to the existing provider under Direct Award Process C<br/><br/>1.A statement that the relevant authority is intending to award a contract to an existing provider following Direct Award Process C.<br/>An award has been made following Direct Award Process C<br/><br/>2.The contract title and reference.<br/>Title - Community Audiology – Support Services<br/>Reference - Community Audiology Service 2024-25<br/><br/>3.The name and address of the registered office or principal place of business of the provider to whom an award is to be made.<br/><br/>RNID<br/>Brightfield Business Hub<br/>Orton Southgate<br/>Peterborough<br/>PE2 6XU            <br/><br/>4.A description of the relevant health care services to which the contract relates, including the most relevant CPV code<br/>Description - Voluntary Sector Support to Community Audiology Patients within North East Essex<br/>CPV Code – 85323000-9 Community health services, but only in respect of community health services which are delivered to individuals<br/><br/>5.The approximate lifetime value of the contract.<br/>£40,000<br/><br/>6.Details of the award decision-makers.<br/>Governance – NICS Collaborative and NEE Community Services (NEECS) DMT <br/><br/>Key Individuals - East Suffolk and North Essex NHS Foundation Trust (ESNEFT)::<br/><br/>Associate Director of Operations- NEECS<br/>General Manager Unplanned & Urgent Care – NEECS<br/>Clinical Lead for Community Audiology - Acute<br/><br/>7.A statement explaining the award decision-makers’ reasons for selecting the chosen provider, with reference to the key criteria.<br/>Key Criteria:<br/><br/>A.	Quality and Innovation – The provider brings quality, learning and innovations from the services they deliver nationally and, where suitable, incorporate them in the service they deliver in North";Medical practice and related services;['Health and first-aid training services'];The offer is related to providing support services for community audiology patients, which includes training services for health and first aid within the community. This aligns with the category of Health and first-aid training services.;['Social work services', 'Consultative engineering and construction services', 'Research services', 'Medical consumables', 'Technical inspection and testing services', 'Medical imaging services', 'Health and first-aid training services', 'Support services for air transport', 'Miscellaneous textiles articles', 'Database services', 'Geological prospecting apparatus', 'Collection agency services', 'Intelligence, surveillance, target acquisition and reconnaissance', 'Advisory architectural services'];['Provider services'];The offer is about the intention to award a contract to an existing provider following Direct Award Process C. The contract is for Community Audiology – Support Services. The lifetime value of the contract is £40,000. The provider is RNID. Therefore, the offer falls under the category of Provider services.' };medical_practice_and_related_services;
"### TITLE:
 University of St Andrews: Design & Manufacture of Safepoint Desks

 ### DESCRIPTION:
 Design and Manufacture of Safepoint Desks including delivery and installation. It is anticipated that the requirement will be for c.40 no. desks. A SafePoint is an approved room containing a SafePoint Desk which allows a researcher to access and analyse data. It is a low cost and scalable solution for data access and will become a new service offered by the SafePod Network.  For more information about the SafePod Network visit www.safepodnetwork.ac.uk. A SafePoint Desk houses the SafePod Network IT system securely and includes a CCTV camera, EyeCube (switches off the monitor when no motion is detected at the desk) and dual monitors. It includes a screen barrier to prevent oversight risk of the desk and provides adjustments for researcher comfort and accessibility. A SafePoint Desk would typically be placed in the corner of a room.  The walls in the corner of the room will form a natural barrier on two sides to create a four-wall enclosure with an entrance and exit point on the opposite side to the room walls. Security policies will govern the SafePoint Desk and the room that it is located. Please see ITT (Invitation to Tender) for full details and specification.";Tables, cupboards, desk and bookcases;['Specialized furniture and equipment'];I categorized this offer under Specialized furniture and equipment because it involves the design and manufacture of Safepoint Desks, which are specifically designed to house the SafePod Network IT system securely. The desks include special features such as CCTV cameras, EyeCube, dual monitors, screen barriers, and adjustments for researcher comfort and accessibility, making them specialized furniture for data analysis purposes.;['Various office equipment and supplies', 'Security services', 'Library and archive services', 'Information systems', 'Technical inspection and testing services', 'Specialized furniture and equipment', 'Security-type printed matter', 'Facilities management software package and software package suite', 'Instruments for measuring flow, level and pressure of liquids and gases', 'Custom software development services', 'Security, signalling and light equipment', 'IT systems and software package', 'Development services of real estate'];['Consultative engineering and construction services'];The product/service offer is about designing and manufacturing Safepoint Desks, including delivery and installation. This is a consultative engineering and construction service, as it involves designing and manufacturing a custom solution for a specific purpose, and then installing it on-site.' }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;;
"### TITLE:
 Provision of Cleaning Services for Brodick Terminal

 ### DESCRIPTION:
 CalMac Ferries Ltd are looking to award a single supplier the Contract for cleaning at our Brodick site. This service will ensure cleanliness is upheld on-site at Brodick to ensure a satisfactory service is provided to our customers with health and safety at forefront of CalMac’s priorities. Whilst cleaning services are paramount for customer satisfaction, it is also important to ensure that the facilities are upkept so that CalMac employees have clean working facilities.";Cleaning services;['Cleaning services'];The offer specifically mentions the provision of cleaning services for Brodick Terminal, focusing on cleanliness for customer satisfaction and health and safety. Therefore, it falls under the category of Cleaning services.;['Cleaning services', 'Cleaning services', 'Health and safety services', 'Facilities maintenance services', 'Cleaning products', 'Facilities management software package and software package suite', 'Cleaning services', 'Maintenance and repair services of pumps, valves, taps and metal containers', 'Cleaning services', 'Maintenance services', 'Facility management services', 'Repair and maintenance services of military aircrafts, missiles and spacecrafts'];['Cleaning services'];The offer is about providing cleaning services for Brodick Terminal. The description clearly states that the service is about ensuring cleanliness is upheld on-site at Brodick to ensure a satisfactory service is provided to our customers with health and safety at forefront of CalMac’s priorities.' };cleaning_services;
"### TITLE:
 HCC - 02/24 - Pre-Procurement Market Engagement (PPME) for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston

 ### DESCRIPTION:
 Hertfordshire County Council (the ""Council"") is carrying out Pre-Procurement Market Engagement (""PPME"") for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hills TunnelThe Council is seeking input from the market as to what might be the most attractive way of packaging and scoping any future opportunity for contracts.  This input will help inform any resultant procurement process. Please refer to the PPME document for more detailed information.The Council will consider the feedback received to help inform the Council’s options and further decision making. For the avoidance of doubt, this stage of the project is not part of a formal procurement process, and the Council is not committing, at this stage, to carrying out such a process. Participation or non-participation in the PPME shall not prevent any supplier participating in a potential future procurement, nor is it intended that any information supplied as part of the PPME shall place any supplier at an advantage in a potential procurement process. Participation in the PPME will be at each organisation’s own cost. No expense in responding to this PPME will be reimbursed by the Council.Further information can be found within the attached documentation. You are invited to submit a completed questionnaire by 12 noon on 11th March 2024. Please log in or register at https://in-tendhost.co.uk/supplyhertfordshire/aspx/Home";Repair and maintenance services of machinery;['Repair and maintenance services of mechanical and electrical equipment'];The offer is focused on the inspection, maintenance, and repair of mechanical, electrical, and other technology equipment, which falls under the category of Repair and maintenance services of mechanical and electrical equipment.;['Repair, maintenance and associated services related to machinery', 'Electrical installation work', 'Engineering-related scientific and technical services', 'Technical inspection and testing services', 'Repair and maintenance services of precision equipment', 'Electrical supplies and accessories', 'Maintenance services of telecommunications equipment', 'Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry', 'Property management services of real estate on a fee or contract basis', 'Repair and maintenance services of audio-visual and optical equipment', 'Mechanical spare parts except engines and engine parts', 'Maintenance and repair of office machinery', 'Repair and maintenance services of weapons and weapon systems', 'Maintenance services of security equipment', 'Geological prospecting apparatus', 'Repair and maintenance services of mechanical and electrical equipment', 'Development services of real estate'];['Miscellaneous engineering services'];The offer is about carrying out Pre-Procurement Market Engagement ('PPME') for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hills Tunnel. The Council is seeking input from the market as to what might be the most attractive way of packaging and scoping any future opportunity for contracts. This input will help inform any resultant procurement process. The Council will consider the feedback received to help inform the Council’s options and further decision making. For the avoidance of doubt, this stage of the project is not part of a formal procurement process, and the Council is not committing, at this stage, to carrying out such a process.' }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;repair_and_maintenance_services_of_electrical;
"### TITLE:
 Digital and Data Capabilities Framework

 ### DESCRIPTION:
 Our current thinking is that this lot encompasses all competences and skills required to achieve NESO's objectives under its business plan, digitalisation strategy, and digital first ambitions, including without limitation the provision of all current services fulfilled by the National Grid Group, as well as supporting NESO as a full end to end business, and expanding these same services to cover the new roles within, and ambitions of, NESO.  The supplier for this lot will be responsible for providing end to end capabilities to enable partnership delivery of large or more specific projects.  Indicative examples of required capabilities are as follows:  Project Management Office  Business Analysis  Product Design and Management  Infrastructure Management and Support  Solution Delivery Management  Release Management  End-to-end user experience (UX) management  UVDB Codes to be registered on Achilles:  2.1.2.0	Software Development Services  2.1.3.0	Software Support Services  2.1.10.0	Data Collection & Handling Services  2.2.0		Business Consultancy  2.2.3.0	IT Consultancy  2.2.10.0	Security Consultancy  2.2.22.0	Risk Management Consultancy  2.6.41.0	Business Project Management";Systems and technical consultancy services;['Business Consultancy'];The offer primarily focuses on providing a framework for digital and data capabilities to achieve NESO's objectives. This involves services related to project management, business analysis, product design, infrastructure management, solution delivery, user experience management, and consultancy services including IT consultancy and security consultancy. The core objective of the offer aligns with Business Consultancy services as it involves providing end-to-end capabilities for partnership delivery of projects and supporting NESO as a full end-to-end business.;['Business and management consultancy services', 'Software-related services', 'Data-processing services', 'Information systems', 'Financial analysis and accounting software package', 'Technical inspection and testing services', 'Software Development Services', 'Software Support Services', 'Data Collection & Handling Services', 'Database systems', 'Communication software package', 'Business Consultancy', 'Custom software development services', 'Business Consultancy', 'IT Consultancy', 'Development services of real estate', 'Business Consultancy', 'IT Consultancy'];['System and technical consultancy services'];This offer is about providing consultancy services to enable NESO to achieve its digitalization strategy and digital first ambitions. It includes the provision of all current services fulfilled by the National Grid Group, as well as supporting NESO as a full end to end business, and expanding these same services to cover the new roles within, and ambitions of, NESO. The required capabilities include Project Management Office, Business Analysis, Product Design and Management, Infrastructure Management and Support, Solution Delivery Management, Release Management, End-to-end user experience (UX) management, UVDB Codes to be registered on Achilles: 2.1.2.0 Software Development Services, 2.1.3.0 Software Support Services, 2.1.10.0 Data Collection & Handling Services, 2.2.0 Business Consultancy, 2.2.3.0 IT Consultancy, 2.2.10.0 Security Consultancy, 2.2.22.0 Risk Management Consultancy, 2.6.41.0 Business Project Management. Therefore, it falls under the category of System and technical consultancy services.' };systems_and_technical_consultancy_services, business_and_management_consultancy_services;
