ocid,release_date,start_date,end_date,country_name,buyer_name,title,description,first_code,first_text,first_score,second_code,second_text,second_score,third_code,third_text,third_score,fourth_code,fourth_text,fourth_score,fifth_code,fifth_text,fifth_score,tender_url
ocds-0c46vo-0020-abri_887,2024-02-05 22:59:21+00,,2024-02-16 00:00:00+00,UNITED KINGDOM,ABRI,Finance Management System Support,"Abri are seeking a contractor who can provide a full level of support for the current Finance Management Solution used within Abri (currently Open Accounts), Abri require this supplier to provide a solution that can meet the following key elements.• Full reactive maintenance service for Open Accounts and Ebis, enabling the logging of issues/defects and providing resolutions through an excellent responsive approach.• Carry out a full , thorough systems healthcheck across Open Accounts and Ebis , to review current use of the product and advise on any changes to achieve optimal utilisation of functionality.• Engage in a routine cycle of review of system use advising on new functionality & system development.• Support the business with the implementation of all regular upgrades and patch fixes.• Support the business with the expansion of the software, implementation of new functionality and/or complimentary solutions.• Provide access to a user environment where the business can interact on best practice and system use.• Provide regular updates, fully supported by metrics, on quality of service delivery.",72260000,Software-related services,22.9364,48440000,Financial analysis and accounting software package,20.9619,72210000,Programming services of packaged software products,14.3569,72220000,Systems and technical consultancy services,8.1115,72250000,System and support services,7.7422,https://in-tendhost.co.uk/abri/aspx/ProjectManage/887
ocds-0c46vo-0020-abri_906,2023-08-15 22:23:35+00,,2023-08-24 00:00:00+00,UNITED KINGDOM,ABRI,Soft Market Testing for Service Charge Solution,"Abri are seeking a supplier to provide a service charge solution in order to manage the recording, application and issuance of service charges across our geography. The solution is intended to manage all aspects of Abri’s service charge needs.",72210000,Programming services of packaged software products,12.4093,48440000,Financial analysis and accounting software package,10.9176,72260000,Software-related services,7.9134,48210000,Networking software package,6.7862,72220000,Systems and technical consultancy services,4.5519,https://in-tendhost.co.uk/abri/aspx/ProjectManage/906
ocds-0c46vo-0020-abri_902,2023-08-15 22:23:35+00,,2023-08-25 00:00:00+00,UNITED KINGDOM,ABRI,Market Testing for Finance Management System,"Abri currently use the Open Accounts system as an internal financial system and are aware there may be multiple available levels of support and or platform generations. At current we are seeking to continue the service solution Open Accounts due to current infrastructure and related systems / processes. We are seeking information around available service delivery options of Open Accounts as a financial solution including but not limited to: levels of support packages, feature sets and migration options.Abri has also decided to take this opportunity to gain a better understanding of the wider market of solutions for the purpose of informing the procurement route in future at a time we may be seeking a new solution.",48440000,Financial analysis and accounting software package,36.0219,72260000,Software-related services,12.6273,72210000,Programming services of packaged software products,11.0425,48810000,Information systems,6.1281,72220000,Systems and technical consultancy services,4.9445,https://in-tendhost.co.uk/abri/aspx/ProjectManage/902
ocds-0c46vo-0020-affinitywater_458,2024-01-09 22:48:13+00,,2024-01-30 00:00:00+00,UNITED KINGDOM,AFFINITY WATER,Fleet Management Services,"The provision of fleet acquisition , fleet management and associated services to Affinity Water.",50110000,Repair and maintenance services of motor vehicles and associated equipment,52.6074,34130000,Motor vehicles for the transport of goods,11.7464,34110000,Passenger cars,9.5611,34140000,Heavy-duty motor vehicles,9.2201,66110000,Banking services,2.1475,https://in-tendhost.co.uk/affinitywater/aspx/ProjectManage/458
ocds-0c46vo-0020-alliancehomes_167,2023-12-07 22:18:04+00,,2023-12-22 00:00:00+00,UNITED KINGDOM,ALLIANCE HOMES,"Over Cladding and Replacement Of Fascia’s, Soffits and Rainwater Goods (563-AHL)","This procurement is for the provision of services related to the overcladding and replacement of fascias, soffits and rainwater goods within the North Somerset, and surrounding area such as Bristol, South Gloucestershire, Bath and North East Somerset, Sedgemoor local / unitary authority areas and also in the Swindon area (such as SN1 to SN5, SN25 and SN26 postcodes).This procurement is being tendered using an open non-PCR2015 procedure.The estimated value of the resulting contract is between £380,000 and £580,000 depending upon variables such as length of contract, frequency of activities, potential business growth and inflation over the course of the contract. Please note that this is an estimate and not a guarantee of future work.This tender is issued by NSAH (Alliance Homes) Ltd, trading as Alliance Homes and known as ‘The Alliance Homes Group’. This tender and any resulting contract may be utilised by any member or future member of the Alliance Homes Group, or by any shared services or partnership arrangement or group of which a member of the Alliance Homes Group is currently or in the future a member of, or by any members current or future of such an arrangement or group. The duration of the contract is for a period of 3 years with the option to extend for 1 further period of 24 months, ending on 31st March 2029. AHG intends to award the contracts on 16th January 2024 to go live on 1st April 2024",45260000,Roof works and other special trade construction works,42.1944,44110000,Construction materials,20.511,45210000,Building construction work,6.0372,45320000,Insulation work,4.4767,45450000,Other building completion work,3.9465,https://in-tendhost.co.uk/alliancehomes/aspx/ProjectManage/167
ocds-0c46vo-0020-alliancehomes_163,2023-10-27 12:16:10+00,,2023-11-24 00:00:00+00,UNITED KINGDOM,ALLIANCE HOMES,Servicing And Minor Repairs To Gas Fired  Boilers To Domestic Properties,"This procurement is for the provision of services related to servicing and minor  repairs to gas fired boilers to domestic properties within the North Somerset,  and surrounding area such as Bristol, South Gloucestershire, Bath and North  East Somerset, Sedgemoor local / unitary authority areas and also in the  Swindon area (such as SN1 to SN5, SN25 and SN26 postcodes).This tender is issued by Alliance Homes Partnerships Limited, to be referred  to throughout this tender as Alliance Homes or Alliance Homes Group (AHG). This tender and any resulting Framework may be utilised by any member or  future member of the Alliance Homes Group, including NSAH (Alliance  Homes) Ltd, or by any shared services or partnership arrangement or group of  which a member of the Alliance Homes Group is currently or in the future a  member of, or by any members current or future of such an arrangement or  group.This procurement is being tendered in accordance with the Open Procedure of  The Public Contracts Regulations 2015 (“PCR 2015”) and as such will  comprise of one stageThe estimated value of the resulting framework will be between £350,000 and  £750,000 (ex VAT) depending upon variables such as frequency of activities,  potential business growth and inflation over the course of the framework.The duration of the framework agreement is for a period of 3 years with the option to extend for 2 further period of 12 months, ending on 31st March 2029.  AHG intends to award the Framework on 22nd December 2023 to go live on 1st April 2024. It is intended that the four successful Contractor(s) will be appointed to this  framework in accordance with the documents which forms part of this tender  pack",50530000,Repair and maintenance services of machinery,50.7061,50720000,Repair and maintenance services of central heating,13.5745,44620000,Central-heating radiators and boilers and parts,5.7776,45330000,Plumbing and sanitary works,5.2735,42160000,Boiler installations,4.9007,https://in-tendhost.co.uk/alliancehomes/aspx/ProjectManage/163
ocds-0c46vo-0020-alliancehomes_160,2023-08-25 22:12:46+00,,2023-09-25 00:00:00+00,UNITED KINGDOM,ALLIANCE HOMES,Fire Remediation Works (540-AHP),"Alliance Homes Partnerships Ltd  are inviting tenders for the provision of Fire Remediation Works, to existing installations, identified through on-going FRAs and other inspections carried out by AHG or it’s agents. The works will be on properties owned or managed by the Alliance Homes Group or maintained under a shared services or partnership arrangement. The properties are mainly within North Somerset, and the surrounding area such as Bristol, South Gloucestershire, Bath and North East Somerset and Sedgemoor local / unitary authority areas.The tender will be split into two lots, with bids welcome for one or both Lots: - Lot 1 - Fire Door and Screen Works  - Lot 2 - Fire Compartmentation WorksThe duration of the contract is for a period of two years with the option to extend for two further periods of twelve months each. AHG intends to award the contracts w/c 13th November 2023 to go live on 02nd January 2024 or earlier.The tender is issued by Alliance Homes Partnerships Limited, and any resulting contract may be utilised by any member or future member of the Alliance Homes Group, including NSAH (Alliance Homes) Ltd, or by any shared services or partnership arrangement or group of which a member of the Alliance Homes Group is currently or in the future a member of, or by any members current or future of such an arrangement or group.",45340000,"Fencing, railing and safety equipment installation work",31.1221,31620000,Sound or visual signalling apparatus,9.2041,44480000,Miscellaneous fire-protection equipment,6.803,35110000,"Firefighting, rescue and safety equipment",6.3267,44220000,Builders' joinery,5.2246,https://in-tendhost.co.uk/alliancehomes/aspx/ProjectManage/160
ocds-0c46vo-0020-angliaruskinuniversity_580,2023-12-19 22:16:06+00,,2024-01-22 00:00:00+00,UNITED KINGDOM,ANGLIA RUSKIN UNIVERSITY,T23/20_University Student Paramedic Science Uniforms,Please find attached documents relating to the tender for the provision of Paramedic Uniforms for University Students (issued under the restricted procedure)Please note the closing date for your SQ return is 12 noon on 23 January 2024. Please do not complete the Invitation to tender (ITT) documentation at this stage. You will be informed in due course whether you have progressed to the ITT stage.Tenderers must check that all the documents listed in the contents have been received and are complete in all respects:T23.20_Paramedic Uniforms SQBidders are reminded that large electronic files may take time to upload to In-Tend. Bidders must allow sufficient time to fully transmit all files they wish to submit prior to the published closing time. Please see paragraph 1.15 of the Selection Questionnaire document for further information.End date for Contract Finder is for information only.,18110000,Occupational clothing,30.2804,18130000,Special workwear,17.0471,33190000,Miscellaneous medical devices and products,15.9206,35110000,"Firefighting, rescue and safety equipment",10.2407,18410000,Special clothing,6.4527,https://in-tendhost.co.uk/angliaruskinuniversity/aspx/ProjectManage/580
ocds-0c46vo-0020-angliaruskinuniversity_574,2023-12-07 22:18:08+00,,2024-01-04 00:00:00+00,UNITED KINGDOM,ANGLIA RUSKIN UNIVERSITY,T23/08_Fixed Wire Testing,Please find attached documents relating to the tender for T23/08_Fixed Wire Testing (issued under the restricted procedure)Please note the closing date for your SQ return is 12 noon on 04 January 2024. Please do not complete the Invitation to tender (ITT) documentation at this stage. You will be informed in due course whether you have progressed to the ITT stage.Tenderers must check that all the documents listed in the contents have been received and are complete in all respects:T23.08_ARU Standard Selection QuestionnaireBidders are reminded that large electronic files may take time to upload to In-Tend. Bidders must allow sufficient time to fully transmit all files they wish to submit prior to the published closing time. Please see paragraph 1.15 of the Selection Questionnaire document for further information.End date for Contract Finder is for information only.,71630000,Technical inspection and testing services,23.2907,45310000,Electrical installation work,14.8711,31680000,Electrical supplies and accessories,9.6611,71310000,Consultative engineering and construction services,7.4669,09310000,Electricity,5.9628,https://in-tendhost.co.uk/angliaruskinuniversity/aspx/ProjectManage/574
ocds-0c46vo-0020-angliaruskinuniversity_577,2023-12-13 22:51:12+00,,2024-01-16 00:00:00+00,UNITED KINGDOM,ANGLIA RUSKIN UNIVERSITY,T23/15_Cambridge and Chelmsford Residential Summer Cleaning Services,Please find attached documents relating to the procurement for Residential Summer Cleaning at our Cambridge and Chelmsford campuses.Please note the closing date for your Selection Questionnaire submission(s) is 12 noon on 16th January 2024. Please do not complete the Invitation to tender (ITT) documentation at this stage. You will be informed in due course whether you have progressed to the ITT stage.The opportunity has been split into 2 lots as follows: Lot 1 T23/15a Cambridge Summer Cleaning ServicesLot 2 T23/15b Chelmsford Summer Cleaning Services Bidders are welcome to provide a submission for one or multiple lots. Bidders must check that all the documents listed in the contents have been received by the Bidder and are complete in all respects.Bidders are reminded that large electronic files may take time to upload to In-Tend. Bidders must allow sufficient time to fully transmit all files they wish to submit prior to the published closing time. Please see paragraph 1.15 of the Selection Questionnaire document for further information.End date for Contract Finder is for information only.,90910000,Cleaning services,58.3024,90610000,Street-cleaning and sweeping services,10.0742,77310000,Planting and maintenance services of green areas,5.1882,98340000,Accommodation and office services,3.1645,79990000,Miscellaneous business-related services,2.7246,https://in-tendhost.co.uk/angliaruskinuniversity/aspx/ProjectManage/577
